id,district,year,treat,soda
1,"City Hall",2021,0,562.2808
1,"City Hall",2022,0,483.7545
1,"City Hall",2023,0,540.1342
1,"City Hall",2024,0,540.224
1,"City Hall",2025,0,507.4853
2,"Old Eagleton",2021,0,547.1628
2,"Old Eagleton",2022,0,445.5637
2,"Old Eagleton",2023,0,536.9053
2,"Old Eagleton",2024,0,523.6125
2,"Old Eagleton",2025,0,515.1465
3,"River Park",2021,0,477.0238
3,"River Park",2022,0,527.0404
3,"River Park",2023,0,549.2161
3,"River Park",2024,0,559.9767
3,"River Park",2025,0,530.9738
4,"Snake Lounge",2021,1,543.0955
4,"Snake Lounge",2022,1,521.5963
4,"Snake Lounge",2023,1,516.9713
4,"Snake Lounge",2024,1,496.1654
4,"Snake Lounge",2025,1,528.1358
5,"The Pit",2021,1,516.404
5,"The Pit",2022,1,490.0895
5,"The Pit",2023,1,516.846
5,"The Pit",2024,1,533.7637
5,"The Pit",2025,1,536.8982
6,"Wanapoke Quarter",2021,1,550.4318
6,"Wanapoke Quarter",2022,1,531.1125
6,"Wanapoke Quarter",2023,1,511.9451
6,"Wanapoke Quarter",2024,1,526.9262
6,"Wanapoke Quarter",2025,1,533.5399
7,"City Hall",2021,0,538.1557
7,"City Hall",2022,0,500.0009
7,"City Hall",2023,0,510.2816
7,"City Hall",2024,0,525.5842
7,"City Hall",2025,0,536.3388
8,"City Hall",2021,0,512.3993
8,"City Hall",2022,0,517.4288
8,"City Hall",2023,0,521.5682
8,"City Hall",2024,0,551.2402
8,"City Hall",2025,0,521.9783
9,"City Hall",2021,0,547.5343
9,"City Hall",2022,0,533.6122
9,"City Hall",2023,0,450.7369
9,"City Hall",2024,0,519.1781
9,"City Hall",2025,0,569.8941
10,"City Hall",2021,0,512.7259
10,"City Hall",2022,0,572.9606
10,"City Hall",2023,0,544.1576
10,"City Hall",2024,0,521.8077
10,"City Hall",2025,0,526.6302
11,"City Hall",2021,0,563.0179
11,"City Hall",2022,0,475.6052
11,"City Hall",2023,0,516.734
11,"City Hall",2024,0,566.3714
11,"City Hall",2025,0,508.2279
12,"City Hall",2021,0,511.0084
12,"City Hall",2022,0,536.4482
12,"City Hall",2023,0,544.0978
12,"City Hall",2024,0,566.7655
12,"City Hall",2025,0,525.1274
13,"City Hall",2021,0,508.6964
13,"City Hall",2022,0,488.6483
13,"City Hall",2023,0,522.473
13,"City Hall",2024,0,554.4755
13,"City Hall",2025,0,530.1036
14,"City Hall",2021,0,517.6749
14,"City Hall",2022,0,466.5904
14,"City Hall",2023,0,496.0827
14,"City Hall",2024,0,512.682
14,"City Hall",2025,0,548.4484
15,"City Hall",2021,0,491.0403
15,"City Hall",2022,0,486.6168
15,"City Hall",2023,0,525.2814
15,"City Hall",2024,0,518.7268
15,"City Hall",2025,0,554.3683
16,"City Hall",2021,0,543.2365
16,"City Hall",2022,0,514.2203
16,"City Hall",2023,0,547.8166
16,"City Hall",2024,0,558.9908
16,"City Hall",2025,0,528.6127
17,"City Hall",2021,0,538.4413
17,"City Hall",2022,0,523.7493
17,"City Hall",2023,0,499.1044
17,"City Hall",2024,0,563.1096
17,"City Hall",2025,0,508.5167
