id,district,year,treat,soda
1,"City Hall",2024,0,540.224
1,"City Hall",2025,0,507.4853
2,"Old Eagleton",2024,0,523.6125
2,"Old Eagleton",2025,0,515.1465
3,"River Park",2024,0,559.9767
3,"River Park",2025,0,530.9738
4,"Snake Lounge",2024,1,496.1654
4,"Snake Lounge",2025,1,528.1358
5,"The Pit",2024,1,533.7637
5,"The Pit",2025,1,536.8982
6,"Wanapoke Quarter",2024,1,526.9262
6,"Wanapoke Quarter",2025,1,533.5399
7,"City Hall",2024,0,525.5842
7,"City Hall",2025,0,536.3388
8,"City Hall",2024,0,551.2402
8,"City Hall",2025,0,521.9783
9,"City Hall",2024,0,519.1781
9,"City Hall",2025,0,569.8941
10,"City Hall",2024,0,521.8077
10,"City Hall",2025,0,526.6302
11,"City Hall",2024,0,566.3714
11,"City Hall",2025,0,508.2279
12,"City Hall",2024,0,566.7655
12,"City Hall",2025,0,525.1274
13,"City Hall",2024,0,554.4755
13,"City Hall",2025,0,530.1036
14,"City Hall",2024,0,512.682
14,"City Hall",2025,0,548.4484
15,"City Hall",2024,0,518.7268
15,"City Hall",2025,0,554.3683
16,"City Hall",2024,0,558.9908
16,"City Hall",2025,0,528.6127
17,"City Hall",2024,0,563.1096
17,"City Hall",2025,0,508.5167
18,"City Hall",2024,0,563.7578
18,"City Hall",2025,0,566.739
19,"City Hall",2024,0,482.8952
19,"City Hall",2025,0,493.5507
20,"City Hall",2024,0,535.2816
20,"City Hall",2025,0,528.1954
21,"City Hall",2024,0,552.1749
21,"City Hall",2025,0,514.2275
22,"City Hall",2024,0,594.429
22,"City Hall",2025,0,503.0059
23,"City Hall",2024,0,492.7939
23,"City Hall",2025,0,492.6034
24,"City Hall",2024,0,537.8207
24,"City Hall",2025,0,534.037
25,"City Hall",2024,0,498.9515
25,"City Hall",2025,0,520.9428
26,"City Hall",2024,0,536.8023
26,"City Hall",2025,0,540.5806
27,"City Hall",2024,0,516.733
27,"City Hall",2025,0,541.682
28,"City Hall",2024,0,590.0538
28,"City Hall",2025,0,527.0531
29,"City Hall",2024,0,503.7968
29,"City Hall",2025,0,495.6658
30,"City Hall",2024,0,527.2386
30,"City Hall",2025,0,505.7643
31,"City Hall",2024,0,535.6819
31,"City Hall",2025,0,525.9238
32,"City Hall",2024,0,519.6361
32,"City Hall",2025,0,523.3976
33,"City Hall",2024,0,537.3548
33,"City Hall",2025,0,571.4242
34,"City Hall",2024,0,511.6614
34,"City Hall",2025,0,549.3552
35,"City Hall",2024,0,532.3752
35,"City Hall",2025,0,545.4066
36,"City Hall",2024,0,505.6258
36,"City Hall",2025,0,520.1356
37,"City Hall",2024,0,529.3861
37,"City Hall",2025,0,543.2928
38,"City Hall",2024,0,495.7542
38,"City Hall",2025,0,545.6402
39,"City Hall",2024,0,494.8382
39,"City Hall",2025,0,546.7093
40,"City Hall",2024,0,553.7422
40,"City Hall",2025,0,543.3251
41,"City Hall",2024,0,474.7812
41,"City Hall",2025,0,510.6181
42,"City Hall",2024,0,545.5395
42,"City Hall",2025,0,534.0817
43,"City Hall",2024,0,543.2078
43,"City Hall",2025,0,483.6452
44,"City Hall",2024,0,486.1826
44,"City Hall",2025,0,571.1185
45,"City Hall",2024,0,507.9104
45,"City Hall",2025,0,557.0112
46,"City Hall",2024,0,544.9888
46,"City Hall",2025,0,535.476
47,"City Hall",2024,0,491.456
47,"City Hall",2025,0,554.499
48,"City Hall",2024,0,558.4981
48,"City Hall",2025,0,552.2561
49,"City Hall",2024,0,549.9614
49,"City Hall",2025,0,562.2795
50,"City Hall",2024,0,529.1098
50,"City Hall",2025,0,511.4966
51,"City Hall",2024,0,534.1334
51,"City Hall",2025,0,578.926
52,"City Hall",2024,0,552.1819
52,"City Hall",2025,0,511.6329
53,"City Hall",2024,0,504.1297
53,"City Hall",2025,0,515.0693
54,"City Hall",2024,0,515.7086
54,"City Hall",2025,0,490.344
55,"City Hall",2024,0,532.7016
55,"City Hall",2025,0,526.2116
56,"City Hall",2024,0,528.5515
56,"City Hall",2025,0,510.5604
57,"City Hall",2024,0,496.4461
57,"City Hall",2025,0,574.2266
58,"City Hall",2024,0,509.4664
58,"City Hall",2025,0,534.0001
59,"City Hall",2024,0,482.2681
59,"City Hall",2025,0,523.7268
60,"City Hall",2024,0,500.7654
60,"City Hall",2025,0,552.1206
61,"City Hall",2024,0,520.0129
61,"City Hall",2025,0,514.6321
62,"City Hall",2024,0,559.4988
62,"City Hall",2025,0,483.0453
63,"City Hall",2024,0,562.1048
63,"City Hall",2025,0,554.6469
64,"City Hall",2024,0,499.9733
64,"City Hall",2025,0,510.3638
65,"City Hall",2024,0,509.5192
65,"City Hall",2025,0,572.2291
66,"City Hall",2024,0,493.8899
66,"City Hall",2025,0,564.533
67,"City Hall",2024,0,503.0236
67,"City Hall",2025,0,559.5497
68,"City Hall",2024,0,497.8852
68,"City Hall",2025,0,565.2142
69,"City Hall",2024,0,530.1161
69,"City Hall",2025,0,519.5804
70,"City Hall",2024,0,530.1234
70,"City Hall",2025,0,494.6038
71,"City Hall",2024,0,493.1554
71,"City Hall",2025,0,509.9383
72,"City Hall",2024,0,524.1767
72,"City Hall",2025,0,528.522
73,"City Hall",2024,0,511.9513
73,"City Hall",2025,0,517.5302
74,"City Hall",2024,0,562.5056
74,"City Hall",2025,0,510.4522
75,"City Hall",2024,0,518.3425
75,"City Hall",2025,0,554.1459
76,"City Hall",2024,0,519.983
76,"City Hall",2025,0,516.0726
77,"City Hall",2024,0,549.7346
77,"City Hall",2025,0,519.7796
78,"City Hall",2024,0,506.8364
78,"City Hall",2025,0,512.1424
79,"City Hall",2024,0,515.0213
79,"City Hall",2025,0,523.7035
80,"City Hall",2024,0,548.2012
80,"City Hall",2025,0,531.5247
81,"City Hall",2024,0,520.3895
81,"City Hall",2025,0,542.4332
82,"City Hall",2024,0,542.1868
82,"City Hall",2025,0,533.5595
83,"City Hall",2024,0,517.0738
83,"City Hall",2025,0,506.9526
84,"City Hall",2024,0,545.5971
